City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,qaqortoq,60.7167,-46.0333,6.670000000000016,48,9,15.23,GL,1722412409
132,codrington,-38.2667,141.9667,9.689999999999998,73,1,3.17,AU,1722412410
133,lihue,21.9789,-159.3672,24.77000000000004,78,40,6.69,US,1722412412
134,masterton,-40.9597,175.6575,8.270000000000039,96,100,5.83,NZ,1722412413
135,wynyard,-41.0,145.7167,7.060000000000002,78,10,0.93,AU,1722412414
136,huilong,31.8111,121.655,31.80000000000001,73,0,5.52,CN,1722412415
137,pangody,65.85,74.4859,25.28000000000003,36,51,0.4,RU,1722412417
138,moree,-29.4667,149.85,10.689999999999998,65,0,4.17,AU,1722412418
139,anadyr,64.75,177.4833,17.28000000000003,72,0,2.0,RU,1722412420
140,edinburgh of the seven seas,-37.0676,-12.3116,11.900000000000034,90,100,12.38,SH,1722412422
141,port lincoln,-34.7333,135.8667,12.689999999999998,69,29,5.15,AU,1722412423
142,amga,60.8953,131.9608,15.550000000000011,57,100,2.4,RU,1722412424
143,mullovka,54.2,49.4,20.900000000000034,37,21,4.37,RU,1722412427
144,turpan,42.9333,89.1667,42.870000000000005,16,100,5.14,CN,1722412428
145,brookings,44.3114,-96.7984,22.29000000000002,95,0,4.12,US,1722412333
146,yelizovo,53.1873,158.3805,14.080000000000041,100,100,4.0,RU,1722412263
147,laguna,38.421,-121.4238,21.410000000000025,75,0,3.09,US,1722412323
148,punta arenas,-53.15,-70.9167,3.0600000000000023,93,100,8.75,CL,1722412433
149,newman,37.3138,-121.0208,22.99000000000001,76,0,0.89,US,1722412434
150,pervomayskoye,43.919,46.7102,31.870000000000005,27,25,7.19,RU,1722412435
151,rongelap,11.1635,166.8941,28.480000000000018,81,100,7.04,MH,1722412354
152,hasaki,35.7333,140.8333,31.27000000000004,77,100,2.79,JP,1722412438
153,sladkovicovo,48.2014,17.6385,25.600000000000023,33,6,2.24,SK,1722412439
154,cape canaveral,28.4058,-80.6048,27.220000000000027,90,0,0.45,US,1722412440
155,westport,41.1415,-73.3579,25.310000000000002,89,100,4.63,US,1722412328
156,whistler,50.1164,-122.9695,14.75,98,100,1.82,CA,1722412200
157,acapulco de juarez,16.8634,-99.8901,24.05000000000001,78,95,1.71,MX,1722412204
158,vadso,70.0744,29.7487,17.090000000000032,63,20,9.77,NO,1722412447
159,port moresby,-9.4431,147.1797,26.680000000000007,78,75,7.72,PG,1722412448
160,weno,7.4515,151.8468,30.970000000000027,84,75,0.0,FM,1722412449
161,caconda,-13.7333,15.0667,19.480000000000018,43,10,2.39,AO,1722412450
162,khovd,48.0056,91.6419,17.390000000000043,54,100,8.78,MN,1722412452
163,douz,33.4663,9.0203,31.860000000000014,31,0,1.48,TN,1722412453
164,hermanus,-34.4187,19.2345,9.330000000000041,67,19,2.16,ZA,1722412454
165,ponta delgada,37.7333,-25.6667,21.400000000000034,78,20,1.03,PT,1722412455
166,longyearbyen,78.2186,15.6401,9.910000000000025,87,100,1.54,SJ,1722412457
167,leticia,-4.2153,-69.9406,23.03000000000003,100,11,1.03,CO,1722412458
168,hadibu,12.65,54.0333,26.650000000000034,77,54,12.04,YE,1722412459
169,alotau,-10.3069,150.4462,23.400000000000034,95,100,2.05,PG,1722412460
170,citrus ridge,28.3339,-81.6423,25.57000000000005,98,95,2.3,US,1722412462
171,booneville,34.6582,-88.5667,26.32000000000005,85,6,1.78,US,1722412463
172,lata,40.1629,-8.3327,20.04000000000002,80,73,0.97,PT,1722412464
173,lompoc,34.6391,-120.4579,14.520000000000039,87,100,2.06,US,1722412465
174,tahe,52.3333,124.7333,18.450000000000045,96,100,2.5,CN,1722412467
175,tawau,4.2498,117.8871,31.07000000000005,67,3,2.3,MY,1722412468
176,mermoz boabab,14.7065,-17.4758,26.879999999999995,83,75,2.06,SN,1722412469
177,peace river,56.2501,-117.286,17.03000000000003,78,0,3.09,CA,1722412449
178,haiku-pauwela,20.9219,-156.3051,22.340000000000032,83,0,6.17,US,1722412472
179,altai,46.3722,96.2583,21.30000000000001,38,100,8.95,MN,1722412473
180,inari,68.906,27.0288,17.110000000000014,55,7,6.91,FI,1722412474
181,kupjansk,49.7209,37.5998,25.910000000000025,34,4,5.93,UA,1722412475
182,gaalkacyo,6.7697,47.4308,32.400000000000034,40,47,11.02,SO,1722412476
183,cuamba,-14.8031,36.5372,27.920000000000016,22,0,0.65,MZ,1722412478
184,guangming,45.3333,122.7833,22.129999999999995,97,100,4.45,CN,1722412479
185,tanaina,61.6269,-149.4281,12.450000000000045,94,40,0.45,US,1722412480
186,okhotsk,59.3833,143.3,12.460000000000036,78,100,1.02,RU,1722412396
187,meiktila,20.8667,95.8667,23.80000000000001,95,100,6.8,MM,1722412483
188,kourou,5.1552,-52.6478,24.03000000000003,92,23,2.46,GF,1722412484
189,holualoa,19.6228,-155.9522,22.150000000000034,99,30,1.02,US,1722412485
190,geraldton,-28.7667,114.6,22.230000000000018,64,5,8.75,AU,1722412486
191,tabuk,17.4189,121.4443,29.82000000000005,78,72,1.95,PH,1722412488
192,ulladulla,-35.35,150.4667,9.870000000000005,66,24,6.0,AU,1722412489
193,berdigestyakh,62.0989,126.6992,15.760000000000048,44,100,4.28,RU,1722412490
194,palmer,42.1584,-72.3287,23.75,80,100,3.6,US,1722412491
195,ivdel',60.6911,60.4206,22.720000000000027,54,67,2.27,RU,1722412309
196,van,38.4924,43.3831,24.640000000000043,44,40,4.12,TR,1722412494
197,revda,56.801,59.9303,23.439999999999998,52,96,4.69,RU,1722412495
198,portland,45.5234,-122.6762,19.02000000000004,87,0,2.57,US,1722412376
199,thunder bay,48.4001,-89.3168,16.99000000000001,100,0,2.06,CA,1722412407
200,arar,30.9753,41.0381,35.01000000000005,18,0,3.09,SA,1722412499
201,coquimbo,-29.9533,-71.3436,11.850000000000023,87,100,2.57,CL,1722412381
202,bryan,30.6744,-96.37,26.860000000000014,89,100,3.6,US,1722412418
203,san antonio de pale,-1.4014,5.6325,22.52000000000004,79,99,4.81,GQ,1722412503
204,san luis de la loma,17.2706,-100.8939,25.08000000000004,85,100,2.25,MX,1722412504
205,punto fijo,11.6956,-70.1996,26.879999999999995,79,20,10.68,VE,1722412505
206,twon-brass,4.3151,6.2418,25.850000000000023,82,99,6.4,NG,1722412506
207,colonia,50.9333,6.95,25.49000000000001,74,0,1.54,DE,1722412508
208,kingston,17.997,-76.7936,28.53000000000003,79,20,3.09,JM,1722412255
209,greenland,43.0362,-70.8328,22.840000000000032,77,75,2.57,US,1722412510
210,gamboru,12.3707,14.2173,25.82000000000005,78,100,6.43,NG,1722412511
211,carauari,-4.8828,-66.8958,22.58000000000004,66,100,0.87,BR,1722412513
212,kataba,8.4604,-0.7732,26.140000000000043,73,94,2.63,GH,1722412514
213,posto fiscal rolim de moura,-13.0833,-62.2667,19.170000000000016,67,0,0.76,BR,1722412515
214,polyarnyy,69.1989,33.4478,12.189999999999998,79,4,8.19,RU,1722412516
215,kapuskasing,49.4169,-82.4331,18.05000000000001,100,100,1.54,CA,1722412518
216,kerikeri,-35.2268,173.9474,8.28000000000003,91,59,1.82,NZ,1722412519
217,luderitz,-26.6481,15.1594,14.520000000000039,55,0,6.03,NA,1722412520
218,ta`u,-14.2336,-169.5144,25.700000000000045,61,44,12.37,AS,1722412521
219,iskateley,67.6803,53.1512,19.82000000000005,82,100,4.62,RU,1722412523
220,les avirons,-21.2418,55.3394,24.439999999999998,53,0,3.09,RE,1722412524
221,ixtapa,20.7,-105.2,27.350000000000023,86,100,0.45,MX,1722412525
222,onega,63.9061,38.1404,14.75,73,81,2.75,RU,1722412526
